Distinguished Lecture Organized,,,,,,,,,,,,,,,,,,,,,,,
Date of Entry,"Date of event (Format : dd-mm-yyyy)
 FROM","Date of event (Format : dd-mm-yyyy)
 TO",Details of the Speakers with affiliation,Type,National/International,Role/ designation of the faculty in the event,Number of participants,Proof link,,,,,,,,,,,,,,,
06-06-2021,"20th July, 2019","20th July, 2019",Samir Kumar Pal,Distinguished Lecture,National,"S.
 N. Bose National
 Centre for Basic
 Sciences, Kolkata",79,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"20th July, 2019","20th July, 2019",Jui Chakraborty,Distinguished Lecture,National,"CSIR - Central Glass
 and Ceramics
 Research Institute
 (CGCRI)",117,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"20th July, 2019","20th July, 2019","Jhimli
 Bhattacharyya",Distinguished Lecture,National,"National Institute of
 Technology Nagaland",147,https://docs.google.com/document/d/1JMFsTSbsemBYtZKqxa-oxcNwSF80-Nt5/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"28th April,2020","28th April,2020",Dr. Rajarshi Banerjee,Distinguished Lecture,National,AVP(R & D) Banka BioLoo Ltd.,200,https://drive.google.com/file/d/1jEzPEV1n5aEY1VnWgCqRSGExkWKC3fK6/view?usp=sharing,,,,,,,,,,,,,,,
06-06-2021,"15th August, 2020","15th August, 2020",Prabir Sengupta,Distinguished Lecture,National,"Colonel, VSM",219,https://drive.google.com/file/d/1Ue8Z8Rf9BG_A9e6LKyVu5zr2cFvyXJqz/view?usp=sharing,,,,,,,,,,,,,,,
06-06-2021,"24th June, 2020","24th June, 2020",Sudip Mukherjee,Distinguished Lecture,National,"District Governor, District 3291, Rotary India",335,https://drive.google.com/file/d/1Rtp8jScM9FIwbVSiIKnTrNxV3comWbey/view?usp=sharing,,,,,,,,,,,,,,,
06-06-2021,"24th June, 2020","24th June, 2020",Rakesh Bhatia,Distinguished Lecture,National,"Club Advisor, President, Rotary Club of Belur",364,https://drive.google.com/file/d/1Rtp8jScM9FIwbVSiIKnTrNxV3comWbey/view?usp=sharing,,,,,,,,,,,,,,,
06-06-2021,"28th July,2020","28th July,2020",Mita Saha,Distinguished Lecture,National,"Assistant Governor, Zone 9, District 3291, Rotary India",345,https://drive.google.com/file/d/1Rtp8jScM9FIwbVSiIKnTrNxV3comWbey/view?usp=sharing,,,,,,,,,,,,,,,
06-06-2021,"28th July,2020","28th July,2020",Ranjana Mustuddi,Distinguished Lecture,National,"Zonal Secretary, Zone 9, District 3291, Rotary India",105,https://drive.google.com/file/d/1Rtp8jScM9FIwbVSiIKnTrNxV3comWbey/view?usp=sharing,,,,,,,,,,,,,,,
06-06-2021,"8th December, 2020","8th December, 2020",Mrs. Ruchi Gupta,Distinguished Lecture,National,"Past District Chairman, Inner Wheel Club, Kolkata",248,https://docs.google.com/spreadsheets/d/1JCqe2frKHaMrVKYfY7fb3qFe3dBU9m1v/edit?usp=sharing&ouid=103456258799123456113&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,,,Dr. Shravan Kumar,Distinguished Lecture,National,"National Vice-President, ELT@I, Professor and Dean Student Welfare, G L Bajaj Group of Institutions,India",330,https://docs.google.com/spreadsheets/d/1JCqe2frKHaMrVKYfY7fb3qFe3dBU9m1v/edit?usp=sharing&ouid=103456258799123456113&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"12th December, 2020","12th December, 2020",Dr. Sarani Ghoshal,Distinguished Lecture,National,"Associate Professor of English, NIT, Goa, India",309,https://docs.google.com/document/d/1uSrtWnspg0kgA4NYqs6_XGKeIj1YCcQ9/edit?usp=sharing&ouid=105632697260422788878&rtpof=true&sd=true,,,,,,,,,,,,,,,
06-06-2021,"11th December, 2020","11th December, 2020",Dr. Aditi Ghosh,Distinguished Lecture,National,"Associate Professor in the Department of Linguistics, Universit",360,https://docs.google.com/spreadsheets/d/1oGQHA5xfTQh68GNN8mWYKn8OMIusPr-2/edit?usp=sharing&ouid=103456258799123456113&rtpof=true&sd=true,,,,,,,,,,,,,,,
