Author,date,title,name_of_journ,coverage,impact_factor,vol_no,issn_isbn,indexing,inv_paper,prof_inv_file,studs_involved,proof
Dr. Ranabir Banik,2020,High-spin states above the isomers in neutron-rich iodine nuclei near N=82,Physical Review C,International,2.988,"Vol. 102, Page 44329","ISSNs
  2469-9985 (print)
  2469-9993 (online)","SCOPUS, WEB of SCIENCE,SCI",No,NA,0,https://drive.google.com/file/d/1u7U20SlEygmCNAyqPJpkC9osr6dplM3x/view?usp=sharing
Dr. Ranabir Banik,2020,First Observation of Multiple Transverse Wobbling Bands of Different Kinds in 183Au,Physical Review Letter,International,2.988,"Vol. 125, Page 132501","ISSNs
  2469-9985 (print)
  2469-9993 (online)","SCOPUS, WEB of SCIENCE,SCI",No,NA,0,https://drive.google.com/file/d/1uC4RNmSO7CujNHeqTRWJMmjP2NR0AyfJ/view?usp=sharing
Dr. Ranabir Banik,2020,"Prompt-delayed gamma-ray spectroscopy of neutron-rich 119,121I isotopes",Physical Review C,International,2.988,"Vol. 102, Page 14326","ISSNs
  2469-9985 (print)
  2469-9993 (online)","SCOPUS, WEB of SCIENCE,SCI",No,NA,0,https://drive.google.com/file/d/1JGbe0xOCZ0RNYauPBRnzKeKfFXBMvPyJ/view?usp=sharing
Dr. Ranabir Banik,2020,Quasi-gamma band in 114Te,Physical Review C,International,2.988,"Vol. 101, Page 64313","ISSNs
  2469-9985 (print)
  2469-9993 (online)","SCOPUS, WEB of SCIENCE,SCI",No,NA,0,https://drive.google.com/file/d/1x1I0b0qechredmXfOXiq-56EQQAlpPfa/view?usp=sharing
Dr. Ranabir Banik,2020,Search of the attractive shears structure in atomic nuclei,International Journal of Innovative Research in Physics,International,NA,"Vol.1, Issue 4, Page 11-14","(ISSN Number(Online) - 2687-7902)
  (ISSN Number(Print) - 2689-484X)",NA,No,NA,0,https://ijiip.smartsociety.org/vol1_issue4/issue4_paper2.pdf
Dr. Ranabir Banik,2020,Investigation of different possible excitation modes in neutron-rich As78,Physical Review C,International,2.988,"Vol. 102, Page 64311","ISSNs
  2469-9985 (print)
  2469-9993 (online)","SCOPUS, WEB of SCIENCE,SCI",No,NA,0,https://drive.google.com/file/d/1JKh-GhnerXw6kSVVP0RYtG0SGxw8x1Ef/view?usp=sharing
Dr. Tina De,2020,"Synthesis, Characterization and Sorptive Removal of Heavy metals on Nano-Structured Nano-Structured Agglomerates of Iron (III)-Cerium (IV) Bimetal Mixed Oxide (NICMO): Search For An Efficient, Low Cost Decontamination Technique",International journal of Chemical and Environmental Sciences,International,NA,"Vol. 1(2), Page 19-32",2687-7937(online) 2689-6389(print),NA,No,NA,0,https://drive.google.com/file/d/16ROQsWWr6b06ennC_VT0xyXTj1AbcTon/view?usp=sharing
Dr. Saswati Barman,2020,Spin-texture driven reconfigurable magnonics in chains of connected Ni80Fe20 submicron dots,Phys. Rev. B,International,4.036,"Vol. 11, Page 224426",NA,"SCI, SCOPUS, Web of Science",No,NA,0,https://drive.google.com/file/d/1dS--sj5zZqsj3QCqjbCFnOHGXFhFDgta/view?usp=sharing
Dr. Saswati Barman,2020,Magnetic vortex transistor based tri-state buffer Switch,Journal of Magnetism and Magnetic Materials,International,2.993,"Vol. 502, Page 166520",NA,"SCI, SCOPUS, Web of Science",No,NA,0,https://drive.google.com/drive/folders/1qVty7ai2FFXhEKYnu5im9UscGEaZFTgL?usp=sharing
Dr. Saswati Barman,2020,Anisotropic spin waves in two-dimensional triangular shaped bi-component magnonic crystal,Journal of Magnetism and Magnetic Materials,International,2.993,"Vol. 490, Page 165484",NA,"SCI, SCOPUS, Web of Science",No,NA,0,https://drive.google.com/drive/folders/1qVty7ai2FFXhEKYnu5im9UscGEaZFTgL?usp=sharing
